bin	group	depth	enzyme	abundance
OSU_TB62	Group4	80.0	dehydrogenases	1.78571
OSU_TB63	Group1a	150.0	dehydrogenases	2.0438
OSU_TB64	Group1b	120.0	dehydrogenases	1.49573
OSU_TB65	Group3a	375.0	dehydrogenases	1.75671
OSU_ZL01	Group3a	800.0	dehydrogenases	1.01801
OSU_ZL02	Group3a	800.0	dehydrogenases	1.95349
OSU_ZL03	Group3a	770.0	dehydrogenases	1.20653
OSU_ZL04	Group3a	770.0	dehydrogenases	1.83616
OSU_ZL05	Group5	511.0	dehydrogenases	1.27389
UM_GB_B1	Group3a	2000.0	dehydrogenases	1.55065
USC_TB66	Group1b	unknown	dehydrogenases	1.33235
USC_TB67	Group2	unknown	dehydrogenases	1.55405
USC_TB68	Group1b	unknown	dehydrogenases	1.79754
USC_TB69	Group1b	unknown	dehydrogenases	1.36298
USC_TB70	Group2	unknown	dehydrogenases	1.25294
USC_TB71	Group1a	unknown	dehydrogenases	2.01083
USC_TB72	Group1b	unknown	dehydrogenases	1.66113
USC_TB74	Group2	unknown	dehydrogenases	1.58201
USC_TB75	Group1a	unknown	dehydrogenases	1.76991
USC_TB76	Group2	unknown	dehydrogenases	1.38751
USC_TB78	Group2	unknown	dehydrogenases	1.17417
USC_TB79	Group2	unknown	dehydrogenases	2.55864
USC_TB80	Group1a	unknown	dehydrogenases	1.5561
USC_TB81	Group2	unknown	dehydrogenases	0.486527
USC_TB82	Group1c	unknown	dehydrogenases	1.59204
USC_TB84	Group2	unknown	dehydrogenases	1.2947
USC_TB85	Group1b	unknown	dehydrogenases	1.54679
USC_TB86	Group1a	unknown	dehydrogenases	1.78069
USC_TB87	Group1b	unknown	dehydrogenases	1.74772
USC_TB88	Group4	unknown	dehydrogenases	1.11023
USC_TB89	Group4	unknown	dehydrogenases	1.79267
USC_TB90	Group1a	unknown	dehydrogenases	2.15134
USC_TB91	Group2	unknown	dehydrogenases	2.79525
USC_TB92	Group1a	unknown	dehydrogenases	2.10325
USC_TB93	Group1a	unknown	dehydrogenases	1.78716
USC_TB94	Group5	unknown	dehydrogenases	0.692521
LSU_GOM1	Group1a	30.0	AslA	0.718133
LSU_GOM2	Group1a	30.0	AslA	0.612813
MPMJ01	Group4	5.0	AslA	0
MPMM01	Group3b	5.0	AslA	0.0245098
MPNC01	Group3b	5.0	AslA	0
MPND01	Group2	5.0	AslA	0.318182
MPNN01	Group1a	5.0	AslA	0.517956
OSU_BB01	Group2	200.0	AslA	0.345224
OSU_BB02	Group1a	200.0	AslA	0.712758
OSU_BB03	Group1b	80.0	AslA	0.308166
OSU_BB04	Group1a	200.0	AslA	0.686106
OSU_BB05	Group2	200.0	AslA	0.164609
OSU_BB06	Group1b	0.0	AslA	0.294334
OSU_BB07	Group2	80.0	AslA	0
OSU_BB08	Group1a	200.0	AslA	0.664084
OSU_BB09	Group2	200.0	AslA	0.318979
OSU_BB10	Group3a	200.0	AslA	0.0578369
OSU_BB11	Group3b	200.0	AslA	0
OSU_NS01	Group4	193.0	AslA	0
OSU_NS02	Group5	200.0	AslA	0
OSU_NS03	Group3a	200.0	AslA	0
OSU_NS04	Group2	200.0	AslA	0
OSU_NS05	Group1a	200.0	AslA	0.254777
OSU_NS06	Group3c	500.0	AslA	0
OSU_NS07	Group1a	10900.0	AslA	0
OSU_NS08	Group3c	754.0	AslA	0
OSU_NS09	Group5	505.0	AslA	0.102564
OSU_NS10	Group2	505.0	AslA	0.0747384
OSU_TB01	Group1a	115.0	AslA	0.842549
OSU_TB02	Group3b	115.0	AslA	0.0610128
OSU_TB04	Group4	155.0	AslA	0.0792393
OSU_TB05	Group1a	250.0	AslA	0.666297
OSU_TB06	Group2	250.0	AslA	0.117855
OSU_TB07	Group3b	250.0	AslA	0.0664894
OSU_TB08	Group5	250.0	AslA	0
OSU_TB09	Group3a	800.0	AslA	0
OSU_TB10	Group2	790.0	AslA	0.155885
OSU_TB11	Group5	790.0	AslA	0
